com.samsung.shealth.activity.day_summary,6305105,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,62701610,0,3515747,11237,200,6154618,90,0,62701610,2024-08-13 20:44:49.671,10,2024-08-12 21:00:01.748,0.0,30,30,-1,1419546,113,9,0,8,7854.624,0,232.01102,1b1cd80f-d593-4a2a-94e9-126b04b9ef9a.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,6154618,52080000,1b1cd80f-d593-4a2a-94e9-126b04b9ef9a,2024-08-13 00:00:00.000,
0,62701610,0,0,3055,200,1697642,90,0,62701610,2024-08-14 20:52:11.875,10,2024-08-13 21:00:01.665,0.0,30,30,-1,360000,31,8,0,8,2084.0898,0,61.88,6748af03-074f-45d5-9101-42f5bb33f456.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,1697642,26280000,6748af03-074f-45d5-9101-42f5bb33f456,2024-08-14 00:00:00.000,
0,62701610,0,701275,2869,200,1622932,90,0,62701610,2024-08-15 19:26:08.595,10,2024-08-14 21:00:01.908,0.0,30,30,-1,701275,30,8,0,8,1983.7754,0,59.314,22e42c5d-5b0d-431d-936a-44545e931861.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,1622932,32100000,22e42c5d-5b0d-431d-936a-44545e931861,2024-08-15 00:00:00.000,
0,62701610,0,3377572,8705,200,4768337,90,0,62701610,2024-08-16 20:56:52.573,10,2024-08-15 21:00:03.091,0.0,30,30,-1,1439834,87,11,0,8,6038.078,0,178.56996,5db98ce7-d296-4ad8-b95f-f4a3f6785dc2.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,4768337,19080000,5db98ce7-d296-4ad8-b95f-f4a3f6785dc2,2024-08-16 00:00:00.000,
0,62701610,0,2340000,4674,200,2502748,90,0,62701610,2024-08-17 17:03:34.641,10,2024-08-16 21:00:02.444,0.0,30,30,-1,2340000,45,6,0,8,3182.4204,0,94.090004,2802b416-317c-4a70-ba12-841082d70f10.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,2502748,34320000,2802b416-317c-4a70-ba12-841082d70f10,2024-08-17 00:00:00.000,
0,62701610,0,0,1897,200,977402,90,0,62701610,2024-08-18 18:20:33.647,10,2024-08-17 21:00:02.978,0.0,30,30,-1,420000,17,5,0,8,1300.3499,0,38.13999,9d95e794-3522-41a0-8ad2-8ba6d02c288f.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,977402,42480000,9d95e794-3522-41a0-8ad2-8ba6d02c288f,2024-08-18 00:00:00.000,
0,62701610,0,3553165,7638,200,4207202,90,0,62701610,2024-08-19 19:32:09.678,10,2024-08-18 21:00:01.837,0.0,30,30,-1,1860000,77,7,0,8,5316.324,0,155.96234,c976116c-39b1-4c50-9a19-2fd7144af884.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,4207202,20220000,c976116c-39b1-4c50-9a19-2fd7144af884,2024-08-19 00:00:00.000,
0,62701610,0,2090000,10710,200,6087383,90,0,62701610,2024-08-20 13:55:26.845,10,2024-08-19 21:00:02.012,0.0,30,30,-1,1320000,112,7,0,8,7258.4976,0,217.22496,86d6ad90-156f-451d-a730-bcdbda8545f8.extra_data.json,8pzzg0NREq,800,com.sec.android.app.shealth,6086583,31320000,86d6ad90-156f-451d-a730-bcdbda8545f8,2024-08-20 00:00:00.000,
0,62701610,0,0,1835,200,1015481,90,0,62701610,2024-08-21 14:48:52.111,10,2024-08-20 21:00:02.295,0.0,30,30,-1,360000,17,4,0,8,1249.41,0,37.309998,db0d79f3-82e7-40d5-a21a-7377f7260db8.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,1015481,52020000,db0d79f3-82e7-40d5-a21a-7377f7260db8,2024-08-21 00:00:00.000,
0,62701610,0,0,2149,200,1158159,90,0,62701610,2024-08-22 14:22:39.091,10,2024-08-21 21:00:01.374,0.0,30,30,-1,420000,21,6,0,8,1466.1698,0,43.489998,be88c895-36ab-4933-93ac-2e6b13d11b5f.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,1158159,25800000,be88c895-36ab-4933-93ac-2e6b13d11b5f,2024-08-22 00:00:00.000,
0,62701610,0,0,634,200,422878,90,0,62701610,2024-08-23 17:12:42.360,10,2024-08-22 21:00:01.847,0.0,30,30,-1,40687,7,6,0,8,419.34,0,13.280001,c182dde7-990b-4334-822b-3aa9577f2d51.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,422878,29340000,c182dde7-990b-4334-822b-3aa9577f2d51,2024-08-23 00:00:00.000,
0,62701610,0,0,1846,200,991439,90,0,62701610,2024-08-24 17:00:34.617,10,2024-08-23 21:00:02.000,0.0,30,30,-1,420000,17,1,0,8,1259.6599,0,37.189995,1b7a3e30-cc76-49f4-912e-7f49bc5b0fc8.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,991439,62520000,1b7a3e30-cc76-49f4-912e-7f49bc5b0fc8,2024-08-24 00:00:00.000,
